file_name,num_classes,num_methods,num_reflections,num_file_operations,num_network_operations
HttpTransportConfigurationTest.java,2,4,0,0,0
HttpTransportDescriptionFactory.java,1,3,0,0,0
ICACertsLoader.java,0,1,0,0,0
Identifiable.java,0,1,0,0,0
IdentityKeyStoreInformation.java,1,4,0,0,0
IdentityKeyStoreWrapper.java,1,5,0,0,0
IEntryFactory.java,0,1,0,0,0
IEntrySerializer.java,0,1,0,0,0
IKeyStoreLoader.java,0,1,0,0,0
Importance.java,0,4,0,0,0
ImportDeployer.java,1,5,0,0,0
IndirectEndpoint.java,1,12,0,0,0
IndirectEndpointFactory.java,1,2,0,0,0
IndirectEndpointSerializer.java,1,1,0,0,0
InMediator.java,1,3,0,0,0
InMediatorFactory.java,1,2,0,0,0
InMediatorSerializationTest.java,1,1,0,0,0
InMediatorSerializer.java,1,2,0,0,0
InMemoryDataSourceRepository.java,1,6,0,0,0
InMemoryMessageStore.java,1,10,0,0,0
InMemoryMessageStoreTest.java,2,9,0,0,0
InMemoryRegistryEntry.java,1,12,0,0,0
InOutStatisticsView.java,1,6,0,0,0
InputStreamConsumer.java,1,7,0,0,0
InternalQueue.java,0,8,0,0,0
InvokeMediator.java,1,6,0,0,0
InvokeMediatorFactory.java,1,3,0,0,0
InvokeMediatorSerializationTest.java,1,3,0,0,0
InvokeMediatorSerializer.java,1,3,0,0,0
IterateMediator.java,1,16,0,0,0
IterateMediatorFactory.java,1,2,0,0,0
IterateMediatorSerializationTest.java,1,6,0,0,0
IterateMediatorSerializer.java,1,2,0,0,0
IterateMediatorTest.java,1,4,0,0,0
JavaScriptMediatorTest.java,1,2,0,0,0
JavaScriptXmlHelper.java,1,2,0,0,0
JBossEncryptionSecretCallbackHandler.java,1,2,0,0,0
JKSKeyStoreLoader.java,1,1,0,0,0
JlineSecretCallbackHandler.java,1,2,0,0,0
JMSSampleClient.java,1,7,0,0,0
JmxAdapter.java,1,7,0,0,0
JmxConfigurationConstants.java,1,0,0,0,0
JmxInformation.java,1,18,0,0,0
JmxInformationFactory.java,1,3,0,0,0
JmxSecretAuthenticator.java,1,1,0,0,0
JMXSecretCallbackHandler.java,1,1,0,0,0
JMXSecretsProvider.java,1,7,0,0,0
JMXSecretsProviderMBean.java,0,3,0,0,0
JNDIBasedDataSourceRepository.java,1,16,0,0,0
JSONClient.java,1,3,0,0,0
KeyStoreInformation.java,1,14,0,0,0
KeyStoreInformationFactory.java,1,3,0,0,0
KeyStoreType.java,0,0,0,0,0
KeyStoreWrapper.java,1,10,0,0,0
LatencyView.java,3,15,0,0,0
LatencyViewMBean.java,0,9,0,0,0
LBService1.java,1,4,0,0,0
LBService2.java,1,4,0,0,0
LibDeployerConstants.java,1,0,0,0,0
LibDeployerUtils.java,1,18,0,0,0
LibDeployerUtilsTest.java,1,2,0,0,0
LibImportTest.java,1,4,0,0,0
Library.java,0,7,0,0,0
LibraryArtifact.java,3,19,0,0,0
LibraryArtifactDeployer.java,1,10,0,0,0
ListenerContext.java,1,19,0,0,0
ListMediator.java,0,6,0,0,0
LoadbalanceAlgorithm.java,0,8,0,0,0
